wiki_img_url	wiki_img_labels	wiki_img_labelsconf
Robert_Aderholt.jpg	Smile, Tie, Dress shirt, Flag, Flag of the united states, Gesture, Collar, Microphone, Spokesperson, Blazer	0.9304485321044922, 0.9031082987785339, 0.8983101844787598, 0.8792455792427063, 0.8679198622703552, 0.852604866027832, 0.8374127745628357, 0.8290137648582458, 0.8198596835136414, 0.7826919555664062
Steve_King.jpg	Forehead, Smile, Gesture, Collar, Flag of the united states, Flag, Dress shirt, Tie, Blazer, Suit	0.9846563935279846, 0.9738409519195557, 0.8479995727539062, 0.8377223610877991, 0.8132645487785339, 0.808142900466919, 0.8073477149009705, 0.796125054359436, 0.7821050882339478, 0.7688010334968567
Thad_Cochran.jpg	Forehead, Smile, Organ, Tie, Dress shirt, Coat, Gesture, Collar, Suit, Blazer	0.9846563935279846, 0.9784796833992004, 0.9095724821090698, 0.9062833786010742, 0.892439603805542, 0.8779348731040955, 0.8526039123535156, 0.8383386731147766, 0.8238006234169006, 0.782637357711792
Mitch_McConnell.jpg	Forehead, Hair, Glasses, Smile, Eye, Eyebrow, Vision care, Tie, Gesture, Collar	0.9846563935279846, 0.9843422770500183, 0.9832325577735901, 0.9810897707939148, 0.9394549131393433, 0.937487006187439, 0.9179134368896484, 0.8820933699607849, 0.8523563742637634, 0.8325986266136169
Johnny_Isakson.jpg	Forehead, Glasses, Chin, Smile, Vision care, Dress shirt, Gesture, Flag, Collar, Suit	0.9846563935279846, 0.9806956052780151, 0.9657822847366333, 0.963504433631897, 0.8797727227210999, 0.8543499708175659, 0.852604866027832, 0.8433820009231567, 0.8366118669509888, 0.807871401309967
Shelley_Moore_Capito.jpg	Smile, Sleeve, Gesture, Collar, Blazer, Chest, Magenta, Button, Jewellery, Event	0.9612606763839722, 0.8724504709243774, 0.852604866027832, 0.8307003974914551, 0.7827655076980591, 0.7685877680778503, 0.7293498516082764, 0.7186868190765381, 0.7128577828407288, 0.6990869045257568
Mike_Enzi.jpg	Forehead, Glasses, Smile, Head, Tie, Dress shirt, Sky, Coat, Sleeve, Standing	0.9846563935279846, 0.9804105758666992, 0.9736971855163574, 0.9721279740333557, 0.9094964265823364, 0.903229832649231, 0.8750224113464355, 0.8715137839317322, 0.8706896305084229, 0.8642165660858154
Thomas_Suozzi.jpg	Forehead, Hair, Smile, Gesture, Collar, Flag, Flag of the united states, Tie, Blazer, Suit	0.9846563935279846, 0.9832470417022705, 0.9807907938957214, 0.852604866027832, 0.8401111364364624, 0.830407977104187, 0.803624153137207, 0.7824075818061829, 0.7794615626335144, 0.7670180797576904
Mark_DeSaulnier.jpg	Smile, Dress shirt, Tie, Flag, Gesture, Collar, Suit, Flag of the united states, Blazer, Spokesperson	0.9660391807556152, 0.8844793438911438, 0.8755006790161133, 0.8638020753860474, 0.852604866027832, 0.8400290608406067, 0.8321046829223633, 0.8113317489624023, 0.7827656865119934, 0.7789664268493652
Evan_Jenkins_(politician).jpg	Forehead, Smile, Eyebrow, Tie, Gesture, Collar, Dress shirt, Suit, Blazer, Flag	0.9846563935279846, 0.974789559841156, 0.9404416084289551, 0.904159665107727, 0.8525852560997009, 0.8370215892791748, 0.8362967371940613, 0.8173673152923584, 0.7818412184715271, 0.7627237439155579
Seth_Moulton.jpg	Smile, Organ, Coat, Flag, Dress shirt, Tie, Gesture, Suit, Collar, Flag of the united states	0.9736658930778503, 0.903059184551239, 0.9001262784004211, 0.8852731585502625, 0.8737927079200745, 0.8599536418914795, 0.852604866027832, 0.8454240560531616, 0.839224636554718, 0.7960630655288696
Brian_Higgins.jpg	Forehead, Smile, Dress shirt, Organ, Tie, Flag, Gesture, Collar, Flag of the united states, Suit	0.9846563935279846, 0.979241132736206, 0.9037360548973083, 0.9028712511062622, 0.8994481563568115, 0.8804619312286377, 0.852604866027832, 0.8405609726905823, 0.838728666305542, 0.8044152855873108
David_Valadao.jpg	Smile, Tie, Dress shirt, Gesture, Collar, Flag of the united states, Flag, Suit, Blazer, Official	0.9706243276596069, 0.8870226144790649, 0.8800778985023499, 0.852604866027832, 0.8386448621749878, 0.8383285403251648, 0.822374701499939, 0.8046424388885498, 0.7827649116516113, 0.7520939111709595
Debbie_Stabenow.jpg	Face, Cheek, Smile, Chin, Eyebrow, Wings, Wrinkle, Makeover, Blazer, Necklace	0.9834718704223633, 0.9786859154701233, 0.9701107740402222, 0.9681230187416077, 0.9380044937133789, 0.8231185674667358, 0.7839725017547607, 0.7703169584274292, 0.7501122355461121, 0.6972200870513916
John_Carter_(Texas_politician).jpg	Smile, Tie, Dress shirt, Flag of the united states, Gesture, Collar, Flag, Spokesperson, Sleeve, Blazer	0.9746711254119873, 0.8883823752403259, 0.8848093152046204, 0.86573326587677, 0.852604866027832, 0.8393629789352417, 0.8177570104598999, 0.8055194020271301, 0.7933950424194336, 0.7826980352401733
Marcia_Fudge.jpg	Glasses, Smile, Chin, Vision care, Sleeve, Gesture, Flag of the united states, Eyewear, Collar, Military person	0.983976423740387, 0.9775964021682739, 0.9671453237533569, 0.9315446615219116, 0.8696630597114563, 0.852604866027832, 0.8474719524383545, 0.8474479913711548, 0.8404278755187988, 0.8154588937759399
Nanette_Barragán.jpg	Smile, Hairstyle, Facial expression, Sleeve, Lipstick, Happy, Collar, Makeover, Blazer, Jewellery	0.9829211831092834, 0.9509009122848511, 0.9325605034828186, 0.871885359287262, 0.8564979434013367, 0.8223403692245483, 0.8046165704727173, 0.7902080416679382, 0.7416302561759949, 0.7410237789154053
Mario_Díaz-Balart.jpg	Smile, Shirt, Tie, Dress shirt, Collar, Flag of the united states, Flag, Blazer, Suit, Official	0.9732674956321716, 0.9395419359207153, 0.8774195909500122, 0.8583529591560364, 0.8406410217285156, 0.8249620199203491, 0.7869323492050171, 0.7803555727005005, 0.7726302146911621, 0.741862952709198
James_Langevin.jpg	Forehead, Smile, Tie, Dress shirt, Coat, Gesture, Suit, Collar, Flag, Spokesperson	0.9846563935279846, 0.9715542197227478, 0.8953456282615662, 0.8841990828514099, 0.8777082562446594, 0.852604866027832, 0.8392084836959839, 0.8382569551467896, 0.7998666763305664, 0.7892482876777649
Jim_Sensenbrenner.jpg	Forehead, Smile, Tie, Collar, Flag, Flag of the united states, Blazer, Happy, Suit, Wrinkle	0.9846563935279846, 0.962506115436554, 0.8634490966796875, 0.8259038925170898, 0.8093802332878113, 0.7732517123222351, 0.7671555280685425, 0.7646471261978149, 0.7555325627326965, 0.7487244009971619
John_Rutherford_(Florida_politician).jpg	Glasses, Smile, Dress shirt, Tie, Flag, Gesture, Collar, Flag of the united states, Sleeve, Suit	0.9750972986221313, 0.9566624164581299, 0.9025636315345764, 0.8851982951164246, 0.8630049228668213, 0.852603554725647, 0.8412631750106812, 0.825009822845459, 0.804121196269989, 0.7852481007575989
Ron_Estes.jpg	Forehead, Smile, Tie, Sleeve, Gesture, Collar, Suit, Dress shirt, Blazer, Flag of the united states	0.9846563935279846, 0.9823890924453735, 0.8906475305557251, 0.8534291386604309, 0.852604866027832, 0.8397920727729797, 0.8205908536911011, 0.8121268153190613, 0.7824657559394836, 0.7770670056343079
Gwen_Moore.jpg	Face, Smile, Flag, Jheri curl, Gesture, Flag of the united states, Eyewear, Spokesperson, Event, Ringlet	0.9833922982215881, 0.9076201319694519, 0.8970969319343567, 0.8963013887405396, 0.852604866027832, 0.8465678691864014, 0.7999759912490845, 0.7977155447006226, 0.7449239492416382, 0.7328585386276245
Dan_Sullivan_(U.S._Senator).jpg	Smile, Organ, Dress shirt, Tie, Gesture, Collar, Flag, Suit, Flag of the united states, Spokesperson	0.9785167574882507, 0.903626024723053, 0.8832464814186096, 0.8607209324836731, 0.852604866027832, 0.8368078470230103, 0.8224585652351379, 0.8107935190200806, 0.7854138612747192, 0.7840661406517029
Tom_MacArthur.jpg	Smile, Vertebrate, Tie, Dress shirt, Microphone, Coat, Mammal, Gesture, Happy, Collar	0.975929856300354, 0.9195114374160767, 0.913914144039154, 0.8903943300247192, 0.8677534461021423, 0.8606212735176086, 0.8599445223808289, 0.852604866027832, 0.8437551856040955, 0.8406929969787598
Diana_DeGette.jpg	Face, Smile, Outerwear, Facial expression, Coat, Sleeve, Happy, Blazer, Tree, Electric blue	0.9825668931007385, 0.9805148839950562, 0.9543876647949219, 0.9323333501815796, 0.8943612575531006, 0.8724499940872192, 0.841442346572876, 0.782010018825531, 0.7279462814331055, 0.7237245440483093
Michael_F._Doyle.jpg	Forehead, Hair, Smile, Chin, Eyebrow, Shirt, Jaw, Tie, Mammal, Dress shirt	0.9846563935279846, 0.9836341738700867, 0.9817965030670166, 0.965713620185852, 0.945975661277771, 0.9403360486030579, 0.8763071298599243, 0.8762868642807007, 0.8534823656082153, 0.8395277261734009
Frederica_Wilson.jpg	Smile, Outerwear, Hat, White, Sun hat, Blue, Flag, Costume hat, Flag of the united states, Gesture	0.9663405418395996, 0.9512853026390076, 0.9463929533958435, 0.9218626022338867, 0.8999453783035278, 0.8920221924781799, 0.8749406933784485, 0.867917537689209, 0.8649783134460449, 0.852604866027832
Dwight_Evans_(politician).jpg	Forehead, Smile, Chin, Tie, Dress shirt, Coat, Gesture, Spokesperson, Collar, Flag	0.9846563935279846, 0.9750102162361145, 0.9661833643913269, 0.9041011929512024, 0.8837069869041443, 0.8778074979782104, 0.852604866027832, 0.8467928767204285, 0.8351987600326538, 0.8325164914131165
José_E._Serrano.jpg	Forehead, Nose, Cheek, Lip, Chin, Eyebrow, Smile, Dress shirt, Jaw, Coat	0.9846563935279846, 0.9835830330848694, 0.9788381457328796, 0.9683200120925903, 0.9663514494895935, 0.9397081136703491, 0.9196829795837402, 0.8857712149620056, 0.8805821537971497, 0.8776089549064636
Mike_Capuano.jpg	Forehead, Smile, Chin, Dress shirt, Tie, Coat, Suit, Collar, Blazer, Formal wear	0.9846563935279846, 0.9756587147712708, 0.966351330280304, 0.905150294303894, 0.8895988464355469, 0.8824488520622253, 0.8469181060791016, 0.8413206934928894, 0.782773494720459, 0.7614192962646484
Cedric_Richmond.jpg	Tie, Dress shirt, Sleeve, Gesture, Collar, Flag of the united states, Flag, Blazer, Government agency, Suit	0.9104912281036377, 0.9045409560203552, 0.8709087371826172, 0.852604866027832, 0.8412072658538818, 0.8147179484367371, 0.8060630559921265, 0.7827540040016174, 0.7812711000442505, 0.7796440124511719
Gene_Green.jpg	Forehead, Chin, Table, Watch, Shelf, Tie, Dress shirt, Collar, Bookcase, Blazer	0.9846563935279846, 0.9657480716705322, 0.921522855758667, 0.9159987568855286, 0.8815609216690063, 0.8807434439659119, 0.8394458293914795, 0.8361265063285828, 0.8301588296890259, 0.7825607061386108
John_Lewis_(civil_rights_leader).jpg	Forehead, Chin, Eyebrow, Sky, Coat, Tie, Natural environment, Dress shirt, Suit, Collar	0.9846563935279846, 0.9667332768440247, 0.9424811005592346, 0.9336263537406921, 0.9058850407600403, 0.904620349407196, 0.8883026838302612, 0.8833289742469788, 0.8583636283874512, 0.8237967491149902
Patty_Murray.jpg	Face, Hair, Smile, Outerwear, Flag, Blazer, Spokesperson, Collar, Wrinkle, Official	0.9831344485282898, 0.9826236963272095, 0.9676843881607056, 0.9519707560539246, 0.8479697704315186, 0.7821085453033447, 0.7762420177459717, 0.7523302435874939, 0.7504470348358154, 0.7440037727355957
Ted_Budd.jpg	Forehead, Smile, Chin, Dress shirt, Tie, Collar, Suit, Flag, Flag of the united states, Blazer	0.9846563935279846, 0.9824063181877136, 0.9669013023376465, 0.8950393199920654, 0.8464238047599792, 0.8396668434143066, 0.8042543530464172, 0.7911792397499084, 0.7897543907165527, 0.7816401124000549
Gary_Palmer_(politician).jpg	Smile, Tie, Dress shirt, Flag, Gesture, Collar, Spokesperson, Flag of the united states, Suit, Blazer	0.9680771231651306, 0.9143623113632202, 0.8919568061828613, 0.8531109690666199, 0.852604866027832, 0.8402099609375, 0.8311141133308411, 0.8134908676147461, 0.811693549156189, 0.7827664017677307
Val_Demings.jpg	Smile, Flag, Coat, Gesture, Eyelash, Flag of the united states, Spokesperson, Pantsuit, Collar, Blazer	0.9433083534240723, 0.868071436882019, 0.8602694869041443, 0.852602481842041, 0.834334671497345, 0.8189350962638855, 0.8077791333198547, 0.7998090982437134, 0.7713296413421631, 0.7686455249786377
Don_Beyer.jpg	Smile, Dress shirt, Tie, Flag, Coat, Gesture, Collar, Sleeve, Flag of the united states, Suit	0.9735483527183533, 0.9015995860099792, 0.8854716420173645, 0.8702983856201172, 0.8647952079772949, 0.852604866027832, 0.8390121459960938, 0.8324092030525208, 0.8200279474258423, 0.8169546127319336
Ami_Bera.jpg	Forehead, Smile, Dress shirt, Gesture, Tie, Collar, Flag, Flag of the united states, Suit, Sleeve	0.9846563935279846, 0.9739786386489868, 0.9030942916870117, 0.852604866027832, 0.8482398986816406, 0.8411568999290466, 0.8374314904212952, 0.820406436920166, 0.8097907900810242, 0.8007298707962036
Rob_Bishop.jpg	Organ, Flag of the united states, Tie, Gesture, Flag, Dress shirt, Collar, Spokesperson, Blazer, Official	0.902700662612915, 0.8622090816497803, 0.8611854314804077, 0.852604866027832, 0.8351534008979797, 0.8259670734405518, 0.8151918649673462, 0.782626211643219, 0.7823599576950073, 0.7597716450691223
Stephanie_Murphy.jpg	Smile, Eyebrow, Coat, Flag, Collar, Pantsuit, Eyelash, Blazer, Spokesperson, Flag of the united states	0.978626549243927, 0.9411454796791077, 0.867994487285614, 0.839806854724884, 0.8330854177474976, 0.7997761368751526, 0.7991542220115662, 0.7825971245765686, 0.759459912776947, 0.7456682324409485
Billy_Long.jpg	Glasses, Smile, Dress shirt, Tie, Gesture, Flag, Collar, Suit, Sleeve, Blazer	0.9730227589607239, 0.9422049522399902, 0.8910821676254272, 0.8892019987106323, 0.852604866027832, 0.8484737277030945, 0.841173529624939, 0.8098095059394836, 0.797175407409668, 0.7827138900756836
Alex_Mooney.jpg	Forehead, Smile, Chin, Eyebrow, Shirt, Dress shirt, Coat, Tie, Suit, Collar	0.9846563935279846, 0.9798815846443176, 0.9680789113044739, 0.9420076012611389, 0.9380447268486023, 0.9008240103721619, 0.8766635060310364, 0.8592932224273682, 0.850727915763855, 0.8406512141227722
Darren_Soto.jpg	Forehead, Smile, Dress shirt, Tie, Sleeve, Gesture, Collar, Suit, Blazer, Official	0.9846563935279846, 0.9561846256256104, 0.8938384056091309, 0.8741995096206665, 0.8578093647956848, 0.8525777459144592, 0.8413010239601135, 0.8285888433456421, 0.782719075679779, 0.7552721500396729
Robert_Pittenger.jpg	Forehead, Smile, Tie, Dress shirt, Gesture, Flag, Collar, Flag of the united states, Blazer, Suit	0.9846563935279846, 0.9744301438331604, 0.9096052646636963, 0.8765342235565186, 0.8526048064231873, 0.8459905385971069, 0.8402405381202698, 0.8325793743133545, 0.7821130752563477, 0.7689887881278992
Henry_Cuellar.jpg	Forehead, Smile, Chin, Flag, Dress shirt, Gesture, Collar, Tie, Flag of the united states, Blazer	0.9846563935279846, 0.9741449952125549, 0.9658389687538147, 0.8985085487365723, 0.8551056385040283, 0.852604866027832, 0.8390454649925232, 0.7998360991477966, 0.7919699549674988, 0.7826710343360901
Tom_McClintock.jpg	Forehead, Smile, Tie, Gesture, Dress shirt, Collar, Flag, Suit, Blazer, Spokesperson	0.9846563935279846, 0.947117269039154, 0.8973066806793213, 0.8524866700172424, 0.8389852643013, 0.8379061222076416, 0.8193895220756531, 0.8173004388809204, 0.7823903560638428, 0.7454513907432556
Gerry_Connolly.jpg	Forehead, Glasses, Smile, Shirt, Vision care, Dress shirt, Tie, Gesture, Collar, Happy	0.9846563935279846, 0.9828364849090576, 0.9715921878814697, 0.9441664814949036, 0.9164263010025024, 0.9054282903671265, 0.8926226496696472, 0.852604866027832, 0.8410518765449524, 0.8388182520866394
Karen_Handel.jpg	Head, Chin, Outerwear, Microphone, Coat, Gesture, Sleeve, Spokesperson, Flag of the united states, Blazer	0.9718522429466248, 0.9661798477172852, 0.9529260993003845, 0.8945478796958923, 0.8871454000473022, 0.852604866027832, 0.8480196595191956, 0.82886803150177, 0.8217172026634216, 0.7827624082565308
Bill_Posey.jpg	Smile, Organ, Dress shirt, Flag, Tie, Gesture, Collar, Flag of the united states, Blazer, Suit	0.9680033922195435, 0.90398108959198, 0.8802170753479004, 0.8791941404342651, 0.8745611906051636, 0.852604866027832, 0.8397257924079895, 0.816971480846405, 0.7827650904655457, 0.77992844581604
Liz_Cheney.jpg	Clothing, Face, Cheek, Chin, Eyebrow, Eye, Sleeve, Eyelash, Iris, Wings	0.9865820407867432, 0.983372688293457, 0.9787961840629578, 0.966653048992157, 0.9419562816619873, 0.9344432950019836, 0.8721287846565247, 0.8559300899505615, 0.8430918455123901, 0.835313081741333
David_Perdue.jpg	Clothing, Smile, Shirt, Dress shirt, Tie, Sleeve, Coat, Gesture, Suit, Collar	0.9875039458274841, 0.9774146676063538, 0.9497485756874084, 0.9071668982505798, 0.898045539855957, 0.8724504113197327, 0.8574913740158081, 0.852604866027832, 0.8468738794326782, 0.8414413332939148
Frank_Lucas_(Oklahoma_politician).jpg	Smile, Glasses, Organ, Tie, Dress shirt, Vision care, Flag of the united states, Flag, Gesture, Collar	0.9809457659721375, 0.9717615842819214, 0.904223620891571, 0.9034520387649536, 0.8860029578208923, 0.8773035407066345, 0.8664381504058838, 0.8581410646438599, 0.852604866027832, 0.8398631811141968
Dean_Heller.jpg	Forehead, Smile, Chin, Eyebrow, Shirt, Vertebrate, Tie, Dress shirt, Coat, Mammal	0.9846563935279846, 0.9737207889556885, 0.9661110043525696, 0.9485812187194824, 0.9415588974952698, 0.9227277040481567, 0.9147425889968872, 0.9055187702178955, 0.8913776874542236, 0.8641874194145203
Jim_Himes.jpg	Forehead, Smile, Dress shirt, Tie, Collar, Flag, Suit, Gesture, Blazer, Official	0.9846563935279846, 0.9744889736175537, 0.8957421779632568, 0.8734382390975952, 0.8408822417259216, 0.8062364459037781, 0.7915921807289124, 0.784452497959137, 0.7827008366584778, 0.7428773045539856
Rodney_Davis_(politician).jpg	Smile, Tie, Dress shirt, Sleeve, Gesture, Collar, Suit, Flag, Blazer, Flag of the united states	0.9634740352630615, 0.9048663973808289, 0.8924998044967651, 0.8719339370727539, 0.852604866027832, 0.8411924839019775, 0.8263262510299683, 0.795006513595581, 0.7827643156051636, 0.746982753276825
Suzan_DelBene.jpg	Glasses, Smile, Vision care, Sleeve, Eyewear, Flag, Gesture, Flag of the united states, Blazer, Event	0.9771968722343445, 0.9712015986442566, 0.9131878018379211, 0.8724465370178223, 0.8595281839370728, 0.8528686165809631, 0.852604866027832, 0.7985801696777344, 0.781791627407074, 0.7300683856010437
Joe_Courtney_(politician).jpg	Smile, Flag, Tie, Gesture, Flag of the united states, Sleeve, Suit, Collar, Blazer, Dress shirt	0.9708281755447388, 0.8657937049865723, 0.8594082593917847, 0.852604866027832, 0.843185544013977, 0.8326308727264404, 0.8204055428504944, 0.7975287437438965, 0.7826592326164246, 0.74692702293396
Bobby_Rush.jpg	Glasses, Microphone, Smile, Organ, Tie, Coat, Gesture, Flag, Collar, Flag of the united states	0.9737382531166077, 0.9631935358047485, 0.9628475308418274, 0.9053551554679871, 0.8669986724853516, 0.857185959815979, 0.852604866027832, 0.8454458117485046, 0.8311434388160706, 0.8279910087585449
Emanuel_Cleaver.jpg	Forehead, Dress shirt, Tie, Sleeve, Gesture, Collar, Flag, Suit, Blazer, Microphone	0.9846563935279846, 0.8990329504013062, 0.8950138092041016, 0.8704963326454163, 0.852604866027832, 0.8406774997711182, 0.8302925229072571, 0.8176199793815613, 0.7827329039573669, 0.7789252996444702
Will_Hurd.jpg	Smile, Tie, Dress shirt, Gesture, Collar, Flag of the united states, Suit, Flag, Blazer, Spokesperson	0.9602100849151611, 0.8904132843017578, 0.8613837957382202, 0.852604866027832, 0.8402470350265503, 0.8269012570381165, 0.8239129185676575, 0.8190383911132812, 0.7827492356300354, 0.7580183744430542
Sean_Duffy.jpg	Forehead, Hair, Chin, Shirt, Shoulder, Smile, Tie, Dress shirt, Neck, Sleeve	0.9846563935279846, 0.9832935929298401, 0.9658522009849548, 0.9396852850914001, 0.9376215934753418, 0.9181190729141235, 0.9105192422866821, 0.9089074730873108, 0.8766136169433594, 0.8724502921104431
Claudia_Tenney.jpg	Face, Smile, Chin, Eyebrow, Sleeve, Gesture, Flag of the united states, Flag, Blazer, Official	0.9838239550590515, 0.9716385006904602, 0.9660432934761047, 0.9401538968086243, 0.8698354959487915, 0.8526048064231873, 0.8499126434326172, 0.8209260702133179, 0.7805765867233276, 0.7461422681808472
Ken_Buck.jpg	Smile, Tie, Gesture, Flag of the united states, Dress shirt, Collar, Spokesperson, Flag, Blazer, Official	0.9661687016487122, 0.8750083446502686, 0.852604866027832, 0.850307822227478, 0.8448870182037354, 0.8375458121299744, 0.7936554551124573, 0.788137674331665, 0.7827060222625732, 0.7462638020515442
Kirsten_Gillibrand.jpg	Hair, Cheek, Smile, Head, Chin, Eyebrow, Coat, Sleeve, Iris, Collar	0.9840831160545349, 0.9793079495429993, 0.9743162393569946, 0.9718369841575623, 0.9664533138275146, 0.9453859925270081, 0.8727028369903564, 0.8724498748779297, 0.8614841103553772, 0.8388593792915344
Mike_Johnson_(Louisiana_politician).jpg	Forehead, Nose, Hair, Glasses, Chin, Eyebrow, Vision care, Tie, Dress shirt, Jaw	0.9846563935279846, 0.9835830330848694, 0.9825770258903503, 0.981433629989624, 0.9669157862663269, 0.9409443736076355, 0.9299517869949341, 0.9071528911590576, 0.9060267210006714, 0.8827022314071655
Jerry_McNerney.jpg	Dress shirt, Tie, Gesture, Sleeve, Collar, Flag, Spokesperson, Suit, Blazer, Official	0.8992567658424377, 0.8901160359382629, 0.852604866027832, 0.8482163548469543, 0.8412182331085205, 0.8231541514396667, 0.8049206733703613, 0.7989500761032104, 0.7827643156051636, 0.7597508430480957
Steve_Stivers.jpg	Forehead, Smile, Shirt, Tie, Dress shirt, Flag of the united states, Gesture, Collar, Flag, Sleeve	0.9846563935279846, 0.9798639416694641, 0.9400624632835388, 0.9082970023155212, 0.8960753679275513, 0.8715912699699402, 0.852604866027832, 0.8407469987869263, 0.8364565372467041, 0.8310584425926208
Ann_Wagner.jpg	Hair, Face, Smile, Head, Chin, Coat, Sleeve, Flag, Gesture, Flag of the united states	0.9843193888664246, 0.9840441942214966, 0.9759155511856079, 0.9726316332817078, 0.9655393362045288, 0.8724876642227173, 0.8705340027809143, 0.8661122918128967, 0.852604866027832, 0.842674732208252
Vicky_Hartzler.jpg	Hair, Face, Smile, Head, Chin, Outerwear, Sleeve, Coat, Collar, Pantsuit	0.9838150143623352, 0.983596920967102, 0.9782930612564087, 0.9715343713760376, 0.9663150906562805, 0.9543527960777283, 0.8724501132965088, 0.8602192997932434, 0.8400929570198059, 0.7998095154762268
Matt_Cartwright.jpg	Smile, Flag, Dress shirt, Tie, Sleeve, Gesture, Collar, Flag of the united states, Suit, Spokesperson	0.9483329653739929, 0.9051153659820557, 0.8972033262252808, 0.8777260780334473, 0.8589590787887573, 0.852604866027832, 0.8407251834869385, 0.8308486342430115, 0.8269210457801819, 0.7945438027381897
André_Carson.jpg	Smile, Coat, Gesture, Flag, Dress shirt, Collar, Suit, Tie, Blazer, Spokesperson	0.9825403690338135, 0.857862114906311, 0.852604866027832, 0.8460481762886047, 0.8425031304359436, 0.8224579095840454, 0.8160762190818787, 0.8143501877784729, 0.7827423810958862, 0.7602011561393738
Brad_Sherman.jpg	Forehead, Glasses, Smile, Tie, Vision care, Flag, Gesture, Collar, Happy, Eyewear	0.9846563935279846, 0.9826198816299438, 0.9754761457443237, 0.9078049659729004, 0.9039222002029419, 0.8562058210372925, 0.852604866027832, 0.8284124732017517, 0.8211172819137573, 0.8141149282455444
Fred_Upton.jpg	Forehead, Nose, Hair, Cheek, Chin, Smile, Eyebrow, Eye, Dress shirt, Tie	0.9846563935279846, 0.9835830330848694, 0.9834619760513306, 0.9790471196174622, 0.9665945768356323, 0.9449102282524109, 0.9421629309654236, 0.9343845248222351, 0.8999295830726624, 0.8899864554405212
Stacey_Plaskett.jpg	Smile, Organ, Sleeve, Flag, Coat, Gesture, Flag of the united states, Pantsuit, Blazer, Electric blue	0.9781007170677185, 0.9023309946060181, 0.8622345328330994, 0.8588273525238037, 0.8576322197914124, 0.852604866027832, 0.8261552453041077, 0.799808919429779, 0.7825630307197571, 0.7461324334144592
