name	age	gender	ethnicity	type	party	state	user_screen_name	wikipedia_id	wiki_img_url	wiki_img_labels	wiki_img_labelsconf	wiki_img_labels_macv	wiki_img_labels_awsrek	wiki_img_labelsconf_awsrek	wiki_img_objects
Bill Nelson	76	Male	white	Senator	Democrat	FL	SenBillNelson	Bill_Nelson	mc_images/Bill_Nelson.jpg	person, official, chin, suit, forehead, businessperson, smile, gentleman, elder, spokesperson, necktie, white_collar_worker, senior_citizen, speaker	0.9397736191749573, 0.8862877488136292, 0.8317073583602905, 0.809898853302002, 0.808052122592926, 0.7942468523979187, 0.7627753615379333, 0.7288451194763184, 0.7216318249702454, 0.7048236727714539, 0.6492443084716797, 0.648742139339447, 0.5644075274467468, 0.5567685961723328	person, suit, man, clothing, necktie, wearing, front, looking, business, holding, older, smiling, posing, standing, sitting, dressed, people, old, woman, blue, red, white	human, person, flag, symbol, head, face, american_flag, accessories, tie, accessory	94.76317596435547, 94.76317596435547, 90.9888916015625, 90.9888916015625, 84.10297393798828, 83.0384292602539, 78.24432373046875, 72.50480651855469, 72.50480651855469, 72.50480651855469	Tie, Flag
Bernard Sanders	77	Male	white	Senator	Independent	VT	SenSanders	Bernie_Sanders	mc_images/Bernie_Sanders.jpg	official, businessperson, elder, speaker, spokesperson, senior_citizen	0.8899292349815369, 0.7193059325218201, 0.6421149969100952, 0.6130837202072144, 0.5987064242362976, 0.5801581144332886	person, man, suit, standing, looking, wearing, older, front, dressed, red, sitting, business, couple, people, holding, glasses, woman, table, phone, hat, wedding, white	symbol, flag, person, human, american_flag, accessories, tie, accessory, face	99.97266387939453, 99.97266387939453, 98.50885772705078, 98.50885772705078, 97.07499694824219, 70.85616302490234, 70.85616302490234, 70.85616302490234, 60.81931686401367	Tie, Glasses, Man, Flag, Person
Debbie Stabenow	68	Female	white	Senator	Democrat	MI	SenStabenow	Debbie_Stabenow	mc_images/Debbie_Stabenow.jpg	person, human_hair_color, eyebrow, chin, hairstyle, forehead, blond, cheek, smile, hair_coloring, businessperson, layered_hair, official, senior_citizen, elder, portrait, brown_hair, spokesperson, wrinkle, iris, television_presenter	0.9325863718986511, 0.8994330167770386, 0.8992360830307007, 0.8883607983589172, 0.8367448449134827, 0.8195509314537048, 0.8104082942008972, 0.7830393314361572, 0.6694032549858093, 0.6278223395347595, 0.6068744659423828, 0.6060808897018433, 0.5982328057289124, 0.5881549119949341, 0.5655999779701233, 0.5588279962539673, 0.5432095527648926, 0.5407735705375671, 0.5207917094230652, 0.5148922801017761, 0.5051277279853821	person, woman, indoor, holding, table, sitting, looking, front, smiling, posing, yellow, standing, young, wearing, shirt, food, plate, suit, cake, man, fruit, white, red, people	face, human, person, apparel, clothing, jacket, coat, blazer, female, accessory, accessories, jewelry, head, photo, portrait, photography, necklace, woman, hair	97.9621810913086, 97.9621810913086, 97.9621810913086, 92.4629135131836, 92.4629135131836, 85.90406036376953, 85.90406036376953, 85.90406036376953, 75.5967788696289, 72.83209991455078, 72.83209991455078, 70.48345184326172, 64.85631561279297, 64.40325164794922, 64.40325164794922, 64.40325164794922, 64.03447723388672, 61.62054443359375, 56.44081497192383	Woman, Clothing
Jon Tester	62	Male	white	Senator	Democrat	MT	SenatorTester	Jon_Tester	mc_images/Jon_Tester.jpg	suit, official, businessperson, outerwear, necktie, gentleman, white_collar_worker, elder, spokesperson, business	0.9145646095275879, 0.8672351241111755, 0.7955173254013062, 0.7463005185127258, 0.7272891402244568, 0.7018042802810669, 0.6872078776359558, 0.6650655269622803, 0.5900793671607971, 0.5047314763069153	person, suit, outdoor, man, building, standing, front, photo, old, wearing, holding, street, older, posing, city, red, sign, white, woman	person, human, face, smile, executive, tie, accessories, accessory, attorney, head, building, architecture, photography, photo, necktie, office_building, portrait	99.53059387207031, 99.53059387207031, 99.53059387207031, 98.83092498779297, 97.41543579101562, 79.41345977783203, 79.41345977783203, 79.41345977783203, 79.32012939453125, 69.61756134033203, 68.36100006103516, 68.36100006103516, 60.39923095703125, 60.39923095703125, 58.012977600097656, 57.51953125, 55.78700637817383	Tie, Man
Sheldon Whitehouse	63	Male	white	Senator	Democrat	RI	SenWhitehouse	Sheldon_Whitehouse	mc_images/Sheldon_Whitehouse.jpg	suit, official, businessperson, gentleman, white_collar_worker, elder, tuxedo, formal_wear, business, public_speaking	0.9183928966522217, 0.8553290963172913, 0.7976197600364685, 0.7732568383216858, 0.7153221368789673, 0.6791349053382874, 0.6612071990966797, 0.6470277905464172, 0.5804067850112915, 0.5334296822547913	person, man, suit, outdoor, clothing, standing, front, wearing, photo, posing, street, sign, holding, dressed, woman, walking, red, board, white, city	apparel, clothing, overcoat, coat, suit, person, face, human, blazer, jacket, executive, accessories, accessory, tie, attorney, building, town, urban, metropolis, city, man, head, smile, photography, portrait, photo, necktie, tuxedo, people	99.69937896728516, 99.69937896728516, 97.86064147949219, 97.86064147949219, 97.86064147949219, 97.31981658935547, 97.31981658935547, 97.31981658935547, 95.2768325805664, 95.2768325805664, 92.33668518066406, 81.5518798828125, 81.5518798828125, 81.5518798828125, 80.24803161621094, 73.59725189208984, 73.59725189208984, 73.59725189208984, 73.59725189208984, 73.59725189208984, 73.35428619384766, 71.09235382080078, 64.31761932373047, 63.8557243347168, 63.8557243347168, 63.8557243347168, 63.22987747192383, 57.960166931152344, 55.19840621948242	Man, Tie
John Barrasso	66	Male	white	Senator	Republican	WY	SenJohnBarrasso	John_Barrasso	mc_images/John_Barrasso.jpg	person, official, businessperson, elder, suit, spokesperson, speaker, gentleman	0.9335493445396423, 0.8869751691818237, 0.7984073162078857, 0.7297441959381104, 0.7216005921363831, 0.7107142210006714, 0.6790417432785034, 0.5846017599105835	person, man, suit, necktie, indoor, front, standing, business, posing, camera, smiling, looking, wearing, photo, older, holding, glasses, table, red, room, wedding, people, white	symbol, flag, human, person, face, attorney, american_flag, accessories, tie, accessory, portrait, photography, photo, indoors, room	98.27029418945312, 98.27029418945312, 97.53417205810547, 97.53417205810547, 96.56208038330078, 87.62406921386719, 84.82244110107422, 77.19856262207031, 77.19856262207031, 77.19856262207031, 58.09226608276367, 58.09226608276367, 58.09226608276367, 55.98311233520508, 55.98311233520508	Glasses, Tie, Man, Flag
Roger Wicker	67	Male	white	Senator	Republican	MS	SenatorWicker	Roger_Wicker	mc_images/Roger_Wicker.jpg	person, official, chin, elder, businessperson, senior_citizen, spokesperson, gentleman, speaker, public_speaking	0.9412289261817932, 0.8921129107475281, 0.8138766288757324, 0.8126732110977173, 0.7969347238540649, 0.7967258095741272, 0.6639228463172913, 0.6161245703697205, 0.5563732981681824, 0.5091761350631714	person, man, suit, clothing, wearing, standing, smiling, older, posing, jacket, business, front, dressed, holding, red, glasses, old, white, woman	accessories, accessory, tie, person, human, face, head, necktie, photo, portrait, photography, clothing, apparel, executive	98.99324035644531, 98.99324035644531, 98.99324035644531, 97.48954010009766, 97.48954010009766, 95.06414794921875, 93.5112533569336, 92.35599517822266, 62.318023681640625, 62.318023681640625, 62.318023681640625, 61.17316436767578, 61.17316436767578, 56.54264831542969	Tie, Glasses, Man
Lamar Alexander	78	Male	white	Senator	Republican	TN	SenAlexander	Lamar_Alexander	mc_images/Lamar_Alexander.jpg	suit, official, speaker, businessperson, gentleman, elder, military_officer, hotel_manager, formal_wear, tuxedo	0.9085619449615479, 0.8916012644767761, 0.7122018933296204, 0.7045138478279114, 0.6923628449440002, 0.6360376477241516, 0.6189500093460083, 0.5543719530105591, 0.5342166423797607, 0.5135746598243713	person, man, indoor, clothing, suit, table, holding, standing, sitting, woman, black, wearing, room, people, red, phone, cutting, cake, white, group, wedding	person, human, furniture, symbol, shelf, flag, apparel, clothing, coat, overcoat, suit, face, american_flag, tie, accessory, accessories, home_decor, table	96.24906921386719, 96.24906921386719, 92.90628814697266, 83.33387756347656, 78.36640930175781, 75.02523803710938, 73.95963287353516, 73.95963287353516, 69.24396514892578, 69.24396514892578, 69.15863037109375, 65.8340835571289, 63.24121856689453, 59.53438186645508, 59.53438186645508, 59.53438186645508, 55.28670883178711, 55.05903625488281	Person, Tie, Flag, Man
Thad Cochran	81	Male	white	Senator	Republican	MS	SenThadCochran	Thad_Cochran	mc_images/Thad_Cochran.jpg	person, official, businessperson, suit, senior_citizen, elder, gentleman, speaker, business	0.9253063797950745, 0.8809179067611694, 0.8014438152313232, 0.7192401885986328, 0.7144843935966492, 0.6769571900367737, 0.6660335063934326, 0.5252584218978882, 0.500406801700592	person, indoor, sitting, man, table, suit, smiling, dinner, looking, front, older, laptop, woman, posing, people, computer, restaurant, holding, food, room, white, plate, standing	attorney, human, person, suit, apparel, overcoat, clothing, coat, face, smile, accessories, tie, accessory, furniture, tabletop, tuxedo, man, photo, portrait, photography, table, worker, executive, head	98.30900573730469, 98.30900573730469, 98.30900573730469, 97.9179916381836, 97.9179916381836, 97.9179916381836, 97.9179916381836, 97.9179916381836, 97.48464965820312, 80.36359405517578, 75.65342712402344, 75.65342712402344, 75.65342712402344, 68.14501190185547, 68.14501190185547, 68.04475402832031, 67.45800018310547, 63.23756408691406, 63.23756408691406, 63.23756408691406, 61.081485748291016, 57.40424728393555, 57.03499221801758, 55.65202713012695	Tie, Man
Susan Collins	66	Female	white	Senator	Republican	ME	SenatorCollins	Susan_Collins	mc_images/Susan_Collins.jpg	blue, outerwear, suit, white_collar_worker, businessperson, business, smile, electric_blue, blazer, formal_wear, job, television_presenter	0.9683589339256287, 0.7783440351486206, 0.7779678106307983, 0.7386730909347534, 0.7227879166603088, 0.6993112564086914, 0.5951482057571411, 0.5665730834007263, 0.5559355616569519, 0.5407503843307495, 0.5300590991973877, 0.5097628235816956	building, outdoor, person, blue, clothing, street, sidewalk, cellphone, road, woman, phone, walking, standing, man, holding, city, lady, front, using, talking, wearing, young, suit, umbrella, red, sign, people	apparel, clothing, coat, overcoat, suit, human, person, executive, jacket, blazer, female, woman, man	99.60449981689453, 99.60449981689453, 99.36439514160156, 99.36439514160156, 99.36439514160156, 98.05867767333984, 98.05867767333984, 91.5911636352539, 88.47101593017578, 88.47101593017578, 87.70416259765625, 78.73968505859375, 69.34709167480469	Outerwear, Woman, Person
John Cornyn	66	Male	white	Senator	Republican	TX	JohnCornyn	John_Cornyn	mc_images/John_Cornyn.jpg	suit, businessperson, official, business, gentleman, necktie, formal_wear, tuxedo, public_speaking, speaker, senior_citizen, elder, white_collar_worker	0.9158870577812195, 0.8024952411651611, 0.7935577034950256, 0.6905430555343628, 0.6734802722930908, 0.5904466509819031, 0.5778079032897949, 0.5619425773620605, 0.5255489349365234, 0.5238431692123413, 0.5102006196975708, 0.5093405246734619, 0.5068701505661011	person, suit, building, outdoor, clothing, man, standing, woman, walking, wearing, holding, front, street, talking, black, phone, dressed, white, old, city, wedding, suitcase, red, people	human, person, executive, apparel, clothing, coat, suit, overcoat, face, man, head, blazer, jacket, tie, accessories, accessory, sitting, attorney, woman, girl, child, kid, teen, blonde, female	97.25975799560547, 97.25975799560547, 96.76225280761719, 96.57408142089844, 96.57408142089844, 94.41669464111328, 94.41669464111328, 94.41669464111328, 84.87635040283203, 82.5736312866211, 77.3941879272461, 77.0164794921875, 77.0164794921875, 72.98992919921875, 72.98992919921875, 72.98992919921875, 59.372013092041016, 58.021400451660156, 55.85139083862305, 55.85139083862305, 55.85139083862305, 55.85139083862305, 55.85139083862305, 55.85139083862305, 55.85139083862305	Person, Tie, Man
Richard Durbin	74	Male	white	Senator	Democrat	IL	SenatorDurbin	Dick_Durbin	mc_images/Dick_Durbin.jpg	person, official, gentleman, businessperson, elder, chin, suit, spokesperson, portrait, speaker, public_speaking	0.9520134329795837, 0.8889980912208557, 0.8093301057815552, 0.7922883033752441, 0.7915006875991821, 0.7865685820579529, 0.7167526483535767, 0.6280603408813477, 0.5464422702789307, 0.5299363136291504, 0.50376957654953	person, suit, man, necktie, clothing, standing, wearing, front, looking, business, dressed, holding, red, wedding, white, woman, sign	human, face, person, overcoat, coat, apparel, suit, clothing, accessory, tie, accessories, necktie, man, executive, head, photography, photo, portrait	99.041259765625, 99.041259765625, 99.041259765625, 96.11955261230469, 96.11955261230469, 96.11955261230469, 96.11955261230469, 96.11955261230469, 95.7154769897461, 95.7154769897461, 95.7154769897461, 81.47010040283203, 79.09722900390625, 74.29918670654297, 72.06124877929688, 69.85231018066406, 69.85231018066406, 69.85231018066406	Tie, Man, Person
Michael Enzi	74	Male	white	Senator	Republican	WY	SenatorEnzi	Mike_Enzi	mc_images/Mike_Enzi.jpg	person, official, suit, businessperson, gentleman, elder, senior_citizen, speaker, spokesperson	0.942195475101471, 0.8857501149177551, 0.8241351842880249, 0.7997170686721802, 0.7910290956497192, 0.7822296023368835, 0.5413480997085571, 0.528200626373291, 0.511372447013855	person, man, suit, necktie, outdoor, clothing, wearing, standing, front, older, old, business, looking, holding, posing, white, dressed, street, hat, sign	face, human, person, smile, attorney, head, apparel, clothing, executive, accessory, tie, accessories, overcoat, coat, suit, man, photo, photography, portrait, people	99.80386352539062, 99.80386352539062, 99.80386352539062, 95.85992431640625, 90.95954132080078, 86.59877014160156, 86.06623840332031, 86.06623840332031, 84.42792510986328, 73.79668426513672, 73.79668426513672, 73.79668426513672, 72.79462432861328, 72.79462432861328, 72.79462432861328, 68.62236785888672, 67.08811950683594, 67.08811950683594, 64.77604675292969, 56.91518783569336	Tie, Man, Glasses
Lindsey Graham	63	Male	white	Senator	Republican	SC	GrahamBlog	Lindsey_Graham	mc_images/Lindsey_Graham.jpg	person, official, businessperson, suit, elder, spokesperson, speaker, public_speaking, speech, business, necktie	0.9266284108161926, 0.8931137323379517, 0.7915799021720886, 0.7900583744049072, 0.7398712635040283, 0.7387981414794922, 0.7108040452003479, 0.7005995512008667, 0.5614343285560608, 0.5125410556793213, 0.5093420743942261	person, man, suit, clothing, standing, wearing, posing, holding, front, dressed, woman, black, large, red, white, people, sign, phone, wedding	flag, symbol, person, human, american_flag, tie, accessory, accessories, face, necktie	99.56140899658203, 99.56140899658203, 96.20465087890625, 96.20465087890625, 91.35897064208984, 85.11315155029297, 85.11315155029297, 85.11315155029297, 66.76338195800781, 58.66629409790039	Tie, Flag, Person, Man
James Inhofe	84	Male	white	Senator	Republican	OK	InhofePress	Jim_Inhofe	mc_images/Jim_Inhofe.jpg	person, senior_citizen, chin, official, elder, forehead, gentleman, businessperson, portrait, facial_hair, smile, moustache	0.958632230758667, 0.9560478329658508, 0.8891056180000305, 0.8283709287643433, 0.8241403698921204, 0.8193973302841187, 0.7138530611991882, 0.6385297179222107, 0.5929935574531555, 0.5796344876289368, 0.521354615688324, 0.5181994438171387	person, man, suit, older, necktie, wearing, standing, looking, glasses, holding, old, posing, smiling, photo, front, white, sign, phone, shirt, blue, people	human, person, head, face, senior_citizen, symbol, flag, american_flag	96.57418060302734, 96.57418060302734, 94.22310638427734, 79.42250061035156, 72.99022674560547, 70.85802459716797, 62.80086898803711, 55.326114654541016	Glasses, Man, Shirt
Mitch McConnell	76	Male	white	Senator	Republican	KY	McConnellPress	Mitch_McConnell	mc_images/Mitch_McConnell.jpg	person, chin, senior_citizen, official, vision_care, elder, businessperson, forehead, glasses, portrait, business	0.9296786189079285, 0.8686589002609253, 0.855674684047699, 0.8531373143196106, 0.7963642477989197, 0.765870213508606, 0.7483620047569275, 0.7465084195137024, 0.6731739640235901, 0.5422061681747437, 0.5132392048835754	person, necktie, man, indoor, clothing, suit, wearing, posing, photo, smiling, dressed, camera, red, standing, holding, woman, old, young, white, sign, people	human, person, face, accessory, tie, accessories, head, clothing, apparel, necktie, executive, portrait, photo, photography, coat, glasses, smile, overcoat, attorney, mouth, teeth, lip	99.08871459960938, 99.08871459960938, 99.08871459960938, 97.635986328125, 97.635986328125, 97.635986328125, 97.59580993652344, 92.45040130615234, 92.45040130615234, 88.66621398925781, 83.2444839477539, 73.25775909423828, 73.25775909423828, 73.25775909423828, 70.43640899658203, 67.42263793945312, 63.21125411987305, 57.52679443359375, 55.87876510620117, 55.24027633666992, 55.24027633666992, 55.24027633666992	Tie, Glasses, Man
Jeff Merkley	62	Male	white	Senator	Democrat	OR	SenJeffMerkley	Jeff_Merkley	mc_images/Jeff_Merkley.jpg	official, suit, businessperson, business, necktie, white_collar_worker, spokesperson, elder, gentleman, public_speaking, management	0.8556122779846191, 0.8506995439529419, 0.8016263842582703, 0.7345181703567505, 0.7246283888816833, 0.7128337025642395, 0.6999205946922302, 0.6435291171073914, 0.6183846592903137, 0.5288687348365784, 0.5185595750808716	person, man, suit, clothing, necktie, standing, wearing, posing, holding, front, business, looking, older, old, dressed, room, street, white	apparel, clothing, person, human, executive, suit, overcoat, coat, blazer, jacket, accessories, tie, accessory, face, man, head, attorney, necktie, portrait, photo, photography	98.75919342041016, 98.75919342041016, 97.30467987060547, 97.30467987060547, 96.06895446777344, 94.86908721923828, 94.86908721923828, 94.86908721923828, 91.36981201171875, 91.36981201171875, 86.90213775634766, 86.90213775634766, 86.90213775634766, 84.2186508178711, 75.20388793945312, 69.41040802001953, 69.18421936035156, 64.79165649414062, 63.559486389160156, 63.559486389160156, 63.559486389160156	Man, Tie, Person
